# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloJerQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/jer_1.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_1.json
# random
#   seed = 1973870797 (Default)
# output
#   file = /scratch/juandiaz/jer1/jer1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,tau,stdnormal,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,sigma
# Adaptation terminated
# Step size = 0.0790953
# Diagonal elements of inverse mass matrix:
# 0.000775101, 9.15092e-05, 0.182111, 0.0996233, 0.279807, 0.239094, 0.2366, 0.0764586, 0.0853736, 0.213916, 0.155749, 0.0624584, 0.102536, 0.082108, 0.0750959, 0.0389831, 0.0528238, 0.0882054, 0.167159, 0.192137, 0.0991852, 0.112462, 0.0762536, 0.149473, 0.15349, 0.104405, 0.120616, 0.0747402, 0.102863, 0.208464, 0.0990394, 0.0776101, 0.102688, 0.121173, 7.48411e-05, 4.80982e-05, 5.64305e-05, 6.17278e-05, 6.29595e-05, 5.16742e-05, 5.58077e-05, 4.60375e-05, 4.9505e-05, 5.62041e-05, 5.15636e-05, 3.00168e-05, 3.30662e-05, 2.81477e-05, 3.05031e-05, 3.17983e-05, 0.686598, 0.203982
-210529,0.881283,0.0790953,6,127,0,210553,-3.17834,-2.57273,-0.953907,-1.40466,-1.39459,1.06264,-1.05568,0.198037,0.772273,-1.18372,0.477085,-0.0553216,0.275326,-0.718076,-0.0691716,0.350856,-0.691485,0.202015,1.88882,-1.43124,-1.34925,-0.592805,0.274819,-1.44478,-1.21072,0.971072,-1.78652,0.418102,0.193091,0.985643,0.656762,1.10033,0.158782,0.0546178,0.0345999,-0.0808104,-0.0303789,-0.00422889,-0.0371116,-0.0130635,-0.0283354,0.0172278,0.0191999,0.015428,0.0211006,-0.0130327,0.0360345,-0.0273427,-0.00637748,-0.00152165,0.402166,0.0970537,1.4134,-0.145987,-0.214972,-0.213431,0.162629,-0.161562,0.030308,0.11819,-0.181159,0.0730139,-0.0084665,0.0421362,-0.109895,-0.0105861,0.0536956,-0.105826,0.0309167,0.289068,-0.21904,-0.206491,-0.0907239,0.0420587,-0.221111,-0.185291,0.148614,-0.273412,0.063987,0.029551,0.150844,0.100512,0.168396,0.0243002,0.0083588,0.153042
-210533,0.984923,0.0790953,6,63,0,210560,-3.14253,-2.52924,-1.13269,-1.06304,-1.38139,1.07992,-1.4485,0.167353,1.16938,0.56419,0.629835,0.277047,0.166196,-0.915732,0.218365,0.52382,-0.633503,0.248462,1.60596,-0.794692,-1.21824,-0.00368197,0.12952,-1.41369,-0.415953,0.898672,-1.51886,0.273869,0.229536,0.893126,0.977801,1.04971,-0.643726,0.568104,0.0334325,-0.0616144,-0.026616,-0.0322741,-0.0350473,-0.000827544,-0.0382286,0.0128311,0.0302504,-0.000368535,0.00448068,0.00396698,0.0319448,-0.0234294,-0.00173713,-0.00930475,3.26122,0.307229,1.397,-0.192701,-0.180852,-0.235011,0.183723,-0.246428,0.0284711,0.198942,0.0959837,0.107152,0.047133,0.0282744,-0.15579,0.0371497,0.0891156,-0.107776,0.04227,0.273216,-0.135198,-0.207255,-0.0006264,0.0220347,-0.240507,-0.0707645,0.152888,-0.258398,0.0465923,0.0390501,0.151944,0.16635,0.178583,-0.109515,0.0966494,0.170126
-210542,0.986366,0.0790953,6,63,0,210562,-3.14802,-2.52843,-1.20451,-1.10525,-1.33508,1.0798,-1.20105,0.0119231,1.27706,0.868066,0.711535,0.253019,0.00457317,-0.81313,0.199849,0.532061,-0.644719,-0.0709891,1.41118,-1.41699,-1.34534,-0.0165467,0.236178,-1.51245,-0.665944,0.564646,-1.87947,0.470048,0.437215,0.427026,0.714225,1.21308,-0.43522,0.552694,0.0333183,-0.0676315,-0.0267264,-0.0333848,-0.0313208,-0.00405036,-0.0303172,0.0121261,0.0374196,0.00171793,-0.000975802,0.000192452,0.0309056,-0.0293758,-0.00223322,-0.0106345,3.6535,0.301343,1.3954,-0.189896,-0.174248,-0.210482,0.170236,-0.189351,0.00187972,0.201333,0.136854,0.112177,0.0398895,0.00072098,-0.128193,0.031507,0.0838816,-0.101643,-0.0111917,0.222479,-0.223394,-0.212099,-0.00260867,0.0372344,-0.238445,-0.104989,0.0890189,-0.296306,0.0741051,0.0689288,0.0673224,0.112601,0.191248,-0.0686143,0.0871345,0.157654
-210544,0.902654,0.0790953,6,63,0,210570,-3.20218,-2.57493,-0.935016,-1.16562,-2.17319,1.28417,-0.541049,0.471387,0.750399,-1.53386,-0.0696949,0.287162,0.525807,-0.337617,-0.428121,0.647458,-0.571474,0.77415,2.74721,-1.23868,-1.39052,-0.73713,0.200263,-1.85318,-0.360514,1.54216,-1.37208,0.251741,0.647385,1.34788,1.30219,0.756106,-0.326849,-0.1207,0.034881,-0.0791945,-0.028007,-0.000449487,-0.0338735,-0.0100642,-0.034377,0.0157646,0.0171785,0.00549066,0.0297144,-0.0106931,0.0363392,-0.0277923,-0.00780369,-0.00710678,0.0301462,0.0245147,1.41738,-0.132016,-0.164576,-0.306836,0.181314,-0.0763916,0.066556,0.10595,-0.216569,-0.00984033,0.0405449,0.0742396,-0.0476687,-0.0604472,0.0914156,-0.0806874,0.109304,0.387883,-0.174891,-0.19633,-0.104077,0.0282754,-0.261654,-0.0509016,0.21774,-0.193727,0.0355437,0.0914054,0.190309,0.183859,0.106756,-0.0461484,-0.0170418,0.141192
-210530,0.980497,0.0790953,6,127,0,210564,-3.22385,-2.56723,-0.752296,-1.41247,-1.47468,1.20136,-1.15377,0.60428,1.36544,-0.125438,0.964717,0.738704,0.509662,0.169123,0.529206,0.662075,-0.725994,0.737836,1.98194,-0.926976,-1.0378,0.230691,0.451814,-1.00772,-0.804809,1.2839,-1.56202,0.475627,0.884803,1.00338,1.24265,1.1737,-0.272833,0.456298,0.0344737,-0.0684284,-0.0184208,-0.0248162,-0.0362724,0.00166189,-0.0416778,0.0177386,0.0306924,0.0135128,0.00581468,-0.0039613,0.0327677,-0.0280345,-0.00129451,-0.00751706,0.139689,0.0584777,1.41162,-0.117706,-0.220998,-0.230732,0.187968,-0.180522,0.094547,0.21364,-0.0196263,0.150942,0.115579,0.0797428,0.0264613,0.0828007,0.10359,-0.113591,0.115443,0.310099,-0.145037,-0.162376,0.0360944,0.0706918,-0.157669,-0.125922,0.200882,-0.244398,0.0744177,0.138438,0.156991,0.194428,0.183639,-0.042688,0.0713935,0.156462
-210532,0.996668,0.0790953,5,31,0,210554,-3.20976,-2.56061,-0.500003,-0.893523,-1.27084,1.4339,-0.659039,0.495856,0.876465,0.211608,0.602319,0.209768,0.401267,0.158512,0.207113,0.546241,-0.5266,0.195954,2.24872,-0.352491,-1.29954,0.308457,0.518892,-1.51333,-0.826503,1.15808,-1.53058,0.699001,0.785857,1.14159,1.39384,1.2736,-0.10966,0.794821,0.0343376,-0.0685839,-0.0111965,-0.0201816,-0.0361383,-0.00517418,-0.0324629,0.0196517,0.0180757,0.00821263,0.00174996,-0.00317917,0.0373864,-0.0303521,-0.00189194,-0.00170825,0.174078,0.071049,1.4097,-0.0851449,-0.152157,-0.21641,0.244177,-0.112227,0.0844387,0.149252,0.0360344,0.102568,0.0357211,0.0683314,0.0269927,0.035269,0.0930188,-0.0896742,0.0333687,0.382932,-0.0600253,-0.221298,0.0525268,0.0883614,-0.257703,-0.140744,0.197209,-0.26064,0.119032,0.133823,0.1944,0.237355,0.21688,-0.0186739,0.135349,0.170289
