# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloJer2QR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/jer_2.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_2.json
# random
#   seed = 1973877554 (Default)
# output
#   file = /scratch/juandiaz/jer2/jer2_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,mu_l2_raw.1,mu_l2_raw.2,mu_l2_raw.3,mu_l2_raw.4,mu_l2_raw.5,mu_l2_raw.6,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,tau.1,tau.2,stdnormal.1,stdnormal.2,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,mu_l2.1,mu_l2.2,mu_l2.3,mu_l2.4,mu_l2.5,mu_l2.6,sigma.1,sigma.2
# Adaptation terminated
# Step size = 0.0389112
# Diagonal elements of inverse mass matrix:
# 0.0137442, 9.42268e-05, 0.169095, 0.0909207, 0.280178, 0.248656, 0.181152, 0.0814388, 0.102504, 0.20784, 0.190766, 0.0827614, 0.127086, 0.0958008, 0.0705898, 0.0594493, 0.0485876, 0.110564, 0.198492, 0.191341, 0.0974091, 0.136173, 0.076842, 0.155063, 0.142975, 0.126888, 0.0987128, 0.0804738, 0.118928, 0.203797, 0.121962, 0.0890711, 0.122856, 0.130592, 0.223295, 0.239959, 0.185826, 0.325856, 0.149523, 0.183201, 7.66335e-05, 5.7079e-05, 5.76004e-05, 5.64273e-05, 5.76697e-05, 5.35832e-05, 5.7297e-05, 5.13125e-05, 5.61684e-05, 5.1276e-05, 6.54933e-05, 3.26651e-05, 2.73994e-05, 2.99932e-05, 3.04581e-05, 2.828e-05, 0.709345, 0.557425, 0.204671, 0.24759
-210456,0.607474,0.0389112,7,127,0,210494,-3.29288,-2.56014,-1.01233,-0.808311,-1.38817,0.819154,-0.417242,0.834619,1.20486,-0.463662,-0.0423504,0.291443,0.72203,-0.560096,-0.0636201,0.986544,-0.521094,0.641772,1.8996,-1.5382,-1.54998,0.294019,0.479377,-1.1691,-0.31535,1.15607,-1.15514,0.769702,0.570864,0.284599,1.38079,1.25381,-0.68482,0.091529,-2.20464,1.0171,0.393129,-2.72724,-0.246022,0.338662,0.0344934,-0.0830168,-0.0234086,-0.0232213,-0.0392944,-0.00862602,-0.0314323,0.00924343,0.0386585,0.0195477,0.0147744,-0.00608429,0.0274319,-0.0246279,-0.00874177,-0.0174944,3.52472,1.44266,0.299912,0.162634,1.4119,-0.161716,-0.129125,-0.221755,0.130857,-0.066653,0.133328,0.192473,-0.0740685,-0.00676535,0.0465571,0.115342,-0.0894736,-0.0101631,0.157597,-0.0832432,0.102521,0.303455,-0.245723,-0.247605,0.0469686,0.0765789,-0.18676,-0.0503762,0.184679,-0.18453,0.122957,0.0911937,0.0454638,0.220576,0.200292,-0.109398,0.0146215,-0.298516,0.137719,0.0532309,-0.369278,-0.0333121,0.0458559,0.159747,0.135403
-210452,0.943557,0.0389112,7,127,0,210492,-3.36824,-2.55175,-0.588885,-1.09523,-2.20117,1.47735,0.292313,0.930945,0.998224,-0.385312,0.492494,0.904964,0.552344,-0.368875,0.356024,0.653002,-0.291,1.07755,2.11159,-0.818435,-0.535249,-0.261828,0.754527,-1.51141,-0.0874222,1.17304,-0.965648,0.158382,1.04286,0.658394,0.959381,1.22442,-0.402065,0.415818,-0.766125,0.991531,0.612812,-1.88496,-0.35632,0.75892,0.034056,-0.0637667,-0.0323905,-0.020126,-0.0214524,-0.0116232,-0.0281333,0.0203184,0.0214549,-0.0093167,0.0250986,-0.00748252,0.0320782,-0.0344735,-0.00756604,-0.0108697,2.3617,0.744114,0.262898,0.151613,1.40574,-0.100741,-0.187362,-0.376554,0.25273,0.050006,0.159257,0.170766,-0.0659154,0.084251,0.154812,0.0944896,-0.0631035,0.0609051,0.111709,-0.0497814,0.184336,0.36123,-0.14001,-0.0915651,-0.0447909,0.129077,-0.258558,-0.0149553,0.200672,-0.165194,0.0270944,0.178403,0.112632,0.164121,0.209461,-0.0687813,0.071134,-0.134653,0.17427,0.107707,-0.331298,-0.0626263,0.133387,0.17107,0.175758
-210449,0.992382,0.0389112,6,127,0,210475,-3.33169,-2.56365,-1.4549,-1.16703,-0.98174,0.869611,-1.83461,0.490214,1.0478,-0.193521,0.306902,0.232784,0.354645,-0.272481,-0.160946,0.803713,-0.716958,-0.144522,2.0583,-1.45683,-1.86861,-0.0763321,0.630536,-1.47604,-0.843757,1.20309,-1.5085,0.74893,0.501124,1.48201,1.32909,0.955172,0.034678,0.554657,-1.04935,0.812148,0.519537,-1.45586,-0.104291,0.411796,0.0341459,-0.0768147,-0.0159147,-0.01822,-0.0385492,0.00761799,-0.0355026,0.00537384,0.0326552,0.0160586,0.00681769,-0.00631828,0.0390459,-0.0216134,-0.00177252,-0.00141348,0.760104,2.44277,0.125506,0.385701,1.407,-0.209442,-0.168,-0.141327,0.125186,-0.264103,0.0705693,0.150837,-0.0278585,0.0441803,0.0335107,0.0510532,-0.0392252,-0.0231691,0.115699,-0.10321,-0.0208048,0.296305,-0.20972,-0.268998,-0.0109885,0.0907694,-0.212485,-0.121464,0.173192,-0.217158,0.107813,0.0721398,0.213344,0.19133,0.137503,0.00499211,0.0798462,-0.258957,0.200422,0.128211,-0.359277,-0.0257368,0.101623,0.143956,0.24678
-210442,0.951872,0.0389112,7,127,0,210472,-3.42049,-2.56641,-0.924224,-0.938219,-1.52987,0.947528,-0.445354,0.460997,0.856469,-0.407164,-0.315427,0.225556,0.24512,-0.207295,-0.142519,0.469965,-0.595853,0.15548,1.43384,-0.534226,-1.44586,-0.214102,0.390304,-1.39064,-0.558246,0.86178,-1.21472,0.478077,0.777532,0.863465,1.28727,0.824345,0.0274968,0.0604064,-0.668746,1.58338,0.997568,-1.31568,0.663234,1.22815,0.0342813,-0.0653267,-0.00719365,-0.0190514,-0.0420654,-0.00469584,-0.0454785,0.019748,0.0257146,8.45863e-05,0.00638466,-0.00755403,0.0401626,-0.0233035,-0.000626155,-0.00349366,0.862816,0.334307,0.176848,0.101578,1.40891,-0.175962,-0.178626,-0.291269,0.180398,-0.0847902,0.0877685,0.163062,-0.0775194,-0.0600537,0.0429434,0.0466681,-0.0394667,-0.0271339,0.089476,-0.113444,0.0296016,0.272986,-0.101711,-0.275275,-0.0407626,0.0743095,-0.264761,-0.106284,0.164073,-0.231268,0.0910203,0.148033,0.164394,0.245081,0.156946,0.00523507,0.0115007,-0.117487,0.278172,0.175255,-0.231142,0.116518,0.215765,0.190389,0.175682
-210441,0.799163,0.0389112,6,63,0,210468,-3.43507,-2.5689,-1.1159,-1.15945,-0.998172,1.25023,-0.902904,0.555689,0.79478,-0.618684,0.818737,0.722456,0.541726,-0.341083,0.000592765,0.625276,-0.524374,0.369565,1.79811,-0.954917,-0.85784,-0.473184,0.28007,-1.60063,-0.473966,1.06041,-1.40786,0.26275,0.202955,1.06283,0.252727,0.699368,-0.530641,0.252045,-0.491243,1.55524,0.907524,-1.46865,0.300249,1.19412,0.0347317,-0.076809,-0.0259856,-0.0139388,-0.0347289,-0.00312494,-0.0237509,0.00870641,0.025027,0.00751061,0.0124926,-0.00733197,0.0268117,-0.0294576,-0.00177363,-0.00633923,2.42172,0.408292,0.289489,0.109273,1.41527,-0.207585,-0.215685,-0.185684,0.232573,-0.167962,0.103372,0.147849,-0.11509,0.152305,0.134395,0.100774,-0.0634497,0.000110269,0.116317,-0.0975464,0.0687482,0.334493,-0.177638,-0.159579,-0.0880238,0.0520998,-0.297756,-0.0881693,0.197262,-0.261896,0.0488779,0.0377546,0.197712,0.0470134,0.1301,-0.0987122,0.0468865,-0.0840087,0.265965,0.155198,-0.251157,0.0513464,0.204209,0.186024,0.171012
-210431,0.890985,0.0389112,6,63,0,210457,-3.46263,-2.55601,-1.21878,-0.920523,-1.65881,0.968131,-0.590917,0.431335,0.57305,-0.610484,-0.331508,-0.0196748,0.0118092,-0.45546,-0.114782,0.498885,-0.631343,0.325354,1.46014,-1.25812,-1.28724,-0.144675,0.553138,-1.19605,-0.591992,0.606092,-0.985118,0.208249,0.719181,0.85057,1.06786,0.817909,-0.098264,0.0216554,-0.546117,1.67288,1.12243,-0.756567,0.678649,1.43667,0.0341992,-0.0745181,-0.0214463,-0.0154547,-0.0403002,-0.00283962,-0.0413929,0.00692191,0.0293251,0.000183518,0.0165656,-0.00324907,0.0377455,-0.032383,-0.00657721,-0.0054569,1.01471,0.822208,0.190499,0.183571,1.40775,-0.230488,-0.174083,-0.313703,0.183087,-0.11175,0.0815713,0.108371,-0.115451,-0.0626927,-0.00372078,0.00223328,-0.0861336,-0.0217069,0.0943458,-0.119395,0.0615289,0.276133,-0.237927,-0.243434,-0.0273601,0.104606,-0.22619,-0.111954,0.11462,-0.186299,0.0393827,0.136007,0.160854,0.201947,0.154678,-0.018583,0.00409532,-0.11056,0.338671,0.227232,-0.153165,0.137391,0.290851,0.189113,0.202447
