# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_3.json
# random
#   seed = 1973430025 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 b0a4f0db
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,alpha
# Adaptation terminated
# Step size = 0.267274
# Diagonal elements of inverse mass matrix:
# 0.00018828, 9.93915e-05, 8.11692e-05, 4.90669e-05, 5.0076e-05, 5.32697e-05, 5.51778e-05, 5.9236e-05, 5.00262e-05, 5.2293e-05, 5.22431e-05, 4.64494e-05, 4.78576e-05, 3.01989e-05, 2.80462e-05, 3.24298e-05, 3.12916e-05, 2.50562e-05
-210682,0.86778,0.267274,4,15,0,210689,-3.18713,-2.55843,0.0340164,-0.0575809,-0.0235179,-0.0230957,-0.0271529,-0.00582879,-0.0241193,0.0204229,0.030442,0.00480358,0.0191731,-0.00618878,0.0346585,-0.0282001,-0.00379075,-0.0114909,1.40518
-210680,0.997653,0.267274,4,15,0,210688,-3.18689,-2.53833,0.0336758,-0.0792421,-0.029285,-0.0178751,-0.0309701,-0.00947613,-0.0441949,0.00441331,0.0145697,0.0013361,0.0128701,-0.00244302,0.0402334,-0.0288093,-0.00812039,-0.00233083,1.4004
-210686,0.8777,0.267274,4,15,0,210696,-3.16751,-2.53135,0.0334141,-0.0616087,-0.0302766,-0.000392173,-0.0220592,0.00621578,-0.0321546,0.00441217,0.0289704,0.0139119,0.0142235,-0.00460018,0.0288841,-0.0305034,0.00409526,-0.00692314,1.39674
-210682,0.950573,0.267274,4,15,0,210695,-3.17578,-2.53363,0.0335083,-0.0611207,-0.0367031,-0.00815361,-0.0255751,0.00270538,-0.0280035,0.00755179,0.0319045,0.000905495,0.0152963,-0.00354806,0.0354122,-0.0239288,-0.000628012,-0.0133131,1.39806
-210683,0.880186,0.267274,4,15,0,210694,-3.17587,-2.53814,0.0334899,-0.0615695,-0.0400038,-0.0056998,-0.0231309,0.00128813,-0.0309513,0.00674005,0.0310681,0.00313353,0.0143854,-0.00483366,0.0376494,-0.0202888,-0.00090346,-0.0126685,1.3978
-210684,0.988208,0.267274,4,15,0,210690,-3.1978,-2.55653,0.0342931,-0.0853319,-0.0247561,-0.02583,-0.0360049,-0.0109414,-0.0450552,0.0190148,0.017742,0.00534622,0.0219186,-0.00871668,0.0315762,-0.035606,-0.00816316,-0.00083347,1.40907
-210682,0.983993,0.267274,4,15,0,210694,-3.18514,-2.54827,0.0340146,-0.0663862,-0.0327007,-0.0151254,-0.016283,-0.00476078,-0.0287411,0.0100226,0.0161801,0.00892292,0.00357868,-0.0134114,0.0287211,-0.0276767,-0.00559477,-0.00845658,1.40515
-210681,0.913004,0.267274,4,15,0,210692,-3.1672,-2.54128,0.0337099,-0.0772782,-0.026337,-0.0106426,-0.0386166,-0.011404,-0.0427791,0.0169814,0.0167364,0.00123966,0.0231593,0.000864278,0.0398532,-0.0283773,-0.00167601,-0.00854145,1.40088
-210683,0.86363,0.267274,4,15,0,210695,-3.18293,-2.54451,0.0337874,-0.0825087,-0.0326841,-0.0149244,-0.0147377,-0.00816931,-0.0337816,0.0188766,0.0101223,0.00520913,0.00953551,-0.0171128,0.0300174,-0.0317679,-0.00524817,-0.00571718,1.40196
-210685,0.966479,0.267274,4,15,0,210697,-3.20575,-2.55928,0.0342553,-0.0652591,-0.0215736,-0.0167771,-0.0443406,-0.00102424,-0.0386009,0.0091134,0.0347436,0.00348067,0.0215404,0.00443313,0.0401154,-0.0245528,-0.00579419,-0.00766131,1.40854
-210684,0.952681,0.267274,4,15,0,210697,-3.18702,-2.54554,0.0337694,-0.0642535,-0.0295678,-0.0172037,-0.0214362,-0.00834684,-0.0451588,0.018241,0.0139284,0.0105223,0.0262899,-0.016775,0.0376152,-0.0329008,0.00337756,-0.0104282,1.40171
-210680,0.982839,0.267274,4,15,0,210692,-3.20705,-2.56345,0.0343274,-0.0795967,-0.03005,-0.0115671,-0.0311206,-0.0159455,-0.0246862,0.0134004,0.0249425,0.000611902,0.0139309,-0.00308276,0.0329928,-0.0213886,-0.00144349,-0.00870102,1.40956
-210683,0.853012,0.267274,4,15,0,210691,-3.21508,-2.56002,0.0345326,-0.0844815,-0.0269407,-0.00976421,-0.0317854,-0.008736,-0.0266653,0.0154285,0.0253091,-0.00309733,0.0100217,-0.00871139,0.0327051,-0.0215916,-0.00701333,-0.0101145,1.41245
-210680,0.938563,0.267274,4,15,0,210691,-3.18137,-2.5454,0.0337076,-0.0641038,-0.0322342,-0.0224524,-0.0289104,-3.2667e-05,-0.0453876,0.0195253,0.0221707,0.012322,0.0181086,-0.0054011,0.0381572,-0.0344052,-0.00197204,-0.00129845,1.40085
-210682,0.925535,0.267274,4,15,0,210689,-3.20303,-2.56436,0.0344686,-0.0820941,-0.0292026,-0.00898447,-0.0296574,-0.00776439,-0.0234149,0.00560518,0.0240061,-0.00155319,0.016967,-0.00715237,0.0327028,-0.0211258,-0.0079677,-0.0125853,1.41155
-210684,0.994038,0.267274,4,15,0,210691,-3.15961,-2.53182,0.0332054,-0.0616751,-0.0278942,-0.02288,-0.0285079,-0.00113107,-0.0481443,0.0205994,0.0243562,0.0107155,0.0215759,-0.00492476,0.0373729,-0.0336236,-0.000849226,-0.000557849,1.39383
-210683,0.909201,0.267274,4,15,0,210692,-3.20623,-2.56741,0.034444,-0.0851245,-0.0316691,-0.00955983,-0.029684,-0.00778966,-0.0233866,0.00810165,0.0201217,0.00104707,0.0144465,-0.0102429,0.0328133,-0.0221509,-0.00842061,-0.0132052,1.4112
-210686,0.637886,0.267274,4,15,0,210696,-3.21632,-2.56101,0.0341373,-0.0643187,-0.0296421,-0.0209456,-0.0275923,0.00250301,-0.039821,0.0158662,0.0188281,0.00991649,0.0110026,-0.00777531,0.0360808,-0.0349257,-5.2627e-05,0.0021774,1.40688
-210681,0.999448,0.267274,4,15,0,210693,-3.18071,-2.55398,0.0338705,-0.0603351,-0.0242838,-0.0121904,-0.0286675,-0.00652652,-0.0289382,0.0137828,0.0246592,-0.00539759,0.0108408,-0.00136387,0.0402918,-0.0235907,-0.00633093,-0.00675335,1.40313
-210684,0.660101,0.267274,4,15,0,210694,-3.18264,-2.5316,0.0336836,-0.0756446,-0.0354025,-0.0123102,-0.0314293,0.000271885,-0.0332843,0.0224207,0.0291697,0.0236094,0.0188115,-0.00933878,0.0305821,-0.0275682,0.0013493,-0.00543383,1.40051
-210682,0.993193,0.267274,4,15,0,210690,-3.18265,-2.53682,0.0335338,-0.0697827,-0.0225483,-0.0182764,-0.0267487,-0.009079,-0.0379139,0.00491104,0.0176316,-0.0129741,0.015082,-0.0060078,0.0390748,-0.0271257,-0.00910225,-0.00840876,1.39841
-210684,0.945893,0.267274,4,15,0,210690,-3.19533,-2.55547,0.034053,-0.0732247,-0.0396286,-0.00837557,-0.0338704,-0.00555097,-0.0321811,0.017307,0.0266512,0.0195257,0.0198242,-0.00630796,0.0326678,-0.0141801,-0.00114024,-0.00637449,1.40569
-210684,0.978929,0.267274,4,15,0,210690,-3.20107,-2.56168,0.0342009,-0.0735024,-0.0199096,-0.0233273,-0.022739,-0.00531386,-0.0390668,0.00983134,0.0199174,-0.00952604,0.0153799,-0.00809012,0.0381404,-0.0402405,-0.00911273,-0.00658113,1.40777
-210683,0.997416,0.267274,4,15,0,210691,-3.19281,-2.55659,0.0340485,-0.0734586,-0.0393637,-0.00808882,-0.0352095,-0.00590741,-0.0321395,0.0173474,0.0258302,0.019888,0.0198158,-0.00545809,0.0357269,-0.0158486,-0.00273282,-0.00700826,1.40563
-210684,0.982741,0.267274,4,15,0,210691,-3.17329,-2.54262,0.033631,-0.0726097,-0.0272648,-0.0242818,-0.025559,-0.00658191,-0.046896,0.00976017,0.030911,0.00184717,0.00529621,-0.00878039,0.0334143,-0.0401148,-0.00509983,-0.0120154,1.39977
-210684,0.898746,0.267274,4,15,0,210694,-3.18501,-2.55042,0.0340186,-0.0743325,-0.0329082,-0.00594159,-0.0326683,-0.00292434,-0.0226384,0.0198468,0.0135123,0.00547527,0.0283998,-0.00444628,0.0364405,-0.016181,-0.00493383,-0.00146098,1.40521
-210679,1,0.267274,4,15,0,210690,-3.18756,-2.54317,0.0337342,-0.0794164,-0.0288636,-0.00858594,-0.0234073,-0.00412316,-0.049962,0.0158078,0.0212355,0.00252089,0.0140517,-0.0098549,0.0341532,-0.0250723,-0.00577599,-0.0127385,1.40122
-210679,0.889613,0.267274,4,15,0,210685,-3.18739,-2.55425,0.0338228,-0.0793211,-0.0237576,-0.0116789,-0.0409999,-0.00504979,-0.0379779,0.017086,0.0195211,0.00293149,0.0246849,-0.00845487,0.0349083,-0.0321046,-0.00660323,-0.00970742,1.40246
