# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = ModeloJerQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/jer_1.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_3.json
# random
#   seed = 922873162 (Default)
# output
#   file = /scratch/juandiaz/jer1/jer1_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 v2.26.1-334-g9c6819aa
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,tau,stdnormal,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,sigma
# Adaptation terminated
# Step size = 0.0662084
# Diagonal elements of inverse mass matrix:
# 0.000941028, 5.77748e-05, 0.141539, 0.0955838, 0.234035, 0.199899, 0.159624, 0.0619395, 0.0952501, 0.176583, 0.129862, 0.0637131, 0.081159, 0.0703672, 0.0551419, 0.0611531, 0.0431113, 0.0707729, 0.163366, 0.161189, 0.0784539, 0.0960809, 0.0628658, 0.0987991, 0.111421, 0.0828474, 0.0839283, 0.0638973, 0.085995, 0.150564, 0.0846081, 0.0617237, 0.0891988, 0.115701, 6.06297e-05, 3.33746e-05, 3.68396e-05, 3.60886e-05, 3.73737e-05, 3.24339e-05, 3.63652e-05, 3.59059e-05, 3.83072e-05, 3.2133e-05, 3.41416e-05, 3.60413e-05, 2.4407e-05, 2.28305e-05, 2.25992e-05, 2.20334e-05, 2.33213e-05, 2.40334e-05, 2.33264e-05, 0.497113, 0.15311
-351868,0.954641,0.0662084,5,63,0,351895,-3.11406,-2.52124,-0.849712,-0.970933,-2.18781,-0.0651476,0.350221,0.701923,1.51352,-0.18677,-0.00948897,0.627688,0.707154,-0.339303,-0.36878,1.25169,-0.157707,0.754375,1.86503,-0.727658,-1.06261,0.662752,0.814661,-0.32933,-0.211496,0.0872287,-0.713191,0.622198,-0.377972,0.845172,0.516818,0.664629,-0.443889,-1.17092,0.0307184,-0.0660134,-0.0184703,-0.0214062,-0.030201,0.000810366,-0.0464742,0.0663854,-0.00550378,0.0129384,-0.00181924,0.00470123,-0.00440907,0.0245396,-0.0345859,0.00186696,-0.0114289,-0.0226857,-0.0308737,1.6019,0.213954,1.35959,-0.14364,-0.164132,-0.369839,-0.0110129,0.0592033,0.118657,0.255853,-0.0315726,-0.00160407,0.106108,0.119541,-0.0573577,-0.0623406,0.211592,-0.0266596,0.127524,0.315275,-0.123007,-0.179629,0.112035,0.137715,-0.0556718,-0.0357525,0.0147456,-0.120562,0.10518,-0.0638945,0.142873,0.0873657,0.112353,-0.0750375,-0.197938,0.169045
-351872,0.962783,0.0662084,6,63,0,351901,-3.11643,-2.53028,-0.747362,-1.28886,-1.94454,-0.60989,-0.577495,0.569217,1.71281,-0.734581,0.304887,0.360679,0.379777,-0.353487,-0.312882,1.16814,-0.206404,0.735065,2.15094,-1.23405,-0.876741,0.583787,0.838633,-1.04851,-0.244051,0.0818548,-0.929323,-0.168124,0.302826,1.33407,0.34301,0.73207,-0.557839,0.214975,0.0307971,-0.0632705,-0.0240597,-0.0148025,-0.0391844,0.000821726,-0.0684869,0.0664583,-0.00119406,0.0168311,0.00656488,0.00542042,-0.0140329,0.0240412,-0.0347638,-0.00425649,-0.00262568,-0.0156862,-0.0218241,1.47391,0.202845,1.36066,-0.12487,-0.215345,-0.324896,-0.101901,-0.0964885,0.0951054,0.286178,-0.122735,0.0509409,0.0602626,0.0634535,-0.0590611,-0.0522767,0.195174,-0.0344863,0.122816,0.359381,-0.206187,-0.146487,0.0975398,0.14012,-0.175186,-0.0407762,0.0136764,-0.155272,-0.0280903,0.0505965,0.222898,0.0573105,0.122315,-0.0932045,0.0359183,0.167081
-351876,0.990058,0.0662084,6,127,0,351903,-3.05999,-2.5204,-1.03732,-1.68954,-2.58997,-0.0133985,0.637708,0.220759,1.24129,-0.62885,-0.329898,0.417635,0.363528,-0.622441,-0.715711,0.949154,-0.435918,0.41316,1.52432,-1.31947,-1.18613,0.412458,0.616359,-0.707921,-0.665827,-0.154682,-1.28892,0.117983,-0.87868,0.534221,0.122628,0.527389,-0.840208,-1.51303,0.030482,-0.0649297,-0.0117823,-0.0273587,-0.0318512,0.0031191,-0.0388221,0.067542,-0.0045369,0.0171307,0.000864975,0.0130896,-0.00500773,0.0280489,-0.0379388,0.00320224,-0.0136796,-0.0291851,-0.0292444,0.856976,0.141382,1.35638,-0.158426,-0.258035,-0.395555,-0.00204629,0.0973943,0.0337155,0.189576,-0.0960414,-0.0503837,0.0637835,0.05552,-0.0950626,-0.109307,0.14496,-0.0665758,0.0631,0.232802,-0.201517,-0.181153,0.0629929,0.0941337,-0.108118,-0.101689,-0.0236239,-0.19685,0.018019,-0.134197,0.0815891,0.0187284,0.0805456,-0.128321,-0.231078,0.152725
-351873,0.990186,0.0662084,6,63,0,351904,-3.09547,-2.53346,-0.775161,-1.40703,-1.96784,-0.245035,0.00663819,0.422516,1.32852,-1.13125,-0.0384896,0.651541,0.343149,-0.409593,-0.500853,0.954066,-0.370858,0.454409,1.74396,-1.38232,-0.850355,0.498221,0.87307,-0.564597,-0.384684,-0.334945,-1.00448,0.507758,-0.188027,0.586593,0.279891,0.731937,-0.655759,-0.307236,0.0308977,-0.0627887,-0.0230174,-0.0168346,-0.0393443,-0.00745225,-0.0628228,0.0668521,0.000112545,0.0203928,0.0123615,0.00268915,-0.00599054,0.0245257,-0.0341959,0.00403252,-0.0101971,-0.0137386,-0.0247757,2.58587,0.267932,1.36203,-0.129155,-0.234435,-0.327877,-0.0408272,0.00110604,0.0703986,0.221355,-0.188487,-0.00641305,0.108558,0.0571746,-0.0682454,-0.0834508,0.158964,-0.0617915,0.0757125,0.290575,-0.230319,-0.141684,0.0830123,0.145469,-0.0940718,-0.0640951,-0.0558078,-0.167364,0.0846014,-0.0313286,0.0977366,0.0466348,0.121953,-0.109261,-0.0511908,0.166618
-351880,0.965048,0.0662084,6,63,0,351911,-3.09653,-2.5312,-0.634249,-1.13621,-2.68802,-1.23469,0.0881587,0.363097,1.45843,-1.08051,0.121074,0.111974,0.42504,-0.322845,-0.31116,0.942756,-0.232259,0.199261,1.87742,-1.42259,-1.12693,0.367716,0.711227,-0.696044,-0.0462026,0.146892,-1.04406,-0.175644,-0.471142,0.934144,0.382485,0.324082,-0.427716,-0.386092,0.0308719,-0.0709532,-0.0252092,-0.0138757,-0.0372213,-0.00642945,-0.0524797,0.0724962,-0.00917097,0.0237802,-0.00168596,-0.000637087,-0.00397536,0.0299399,-0.0317028,0.00643438,-0.0087431,-0.031706,-0.0293575,0.901275,0.169094,1.36168,-0.112969,-0.202375,-0.478776,-0.219916,0.0157024,0.064673,0.259769,-0.192455,0.0215651,0.0199442,0.075706,-0.0575035,-0.0554222,0.167919,-0.0413687,0.0354913,0.334397,-0.253385,-0.200722,0.0654956,0.12668,-0.123976,-0.00822936,0.0261636,-0.185963,-0.0312848,-0.0839175,0.166385,0.0681262,0.0577238,-0.0761826,-0.0687686,0.178115
-351873,0.919896,0.0662084,6,63,0,351904,-3.08293,-2.52808,-0.933767,-1.24519,-2.68364,-1.09597,-0.138837,0.230461,1.53855,-1.05387,0.243854,0.287363,0.357052,-0.363184,-0.370862,0.765292,-0.385364,0.404256,1.88002,-1.17102,-1.33814,0.195518,0.524261,-0.673689,-0.0290734,0.219133,-1.12229,-0.222168,-0.394374,0.8491,0.281759,0.388786,-0.646261,-0.482007,0.03086,-0.0730968,-0.0241733,-0.0101874,-0.0390819,0.000423201,-0.0511864,0.0706044,-0.00835659,0.0187508,-0.00281474,0.00177802,-0.00738759,0.0270081,-0.0337317,0.00599985,-0.00465147,-0.0278994,-0.0304534,1.28677,0.210171,1.36152,-0.173006,-0.230706,-0.497218,-0.203059,-0.0257234,0.0426993,0.285058,-0.195259,0.0451807,0.0532419,0.0661536,-0.0672898,-0.0687123,0.141791,-0.0713992,0.0748995,0.348326,-0.216963,-0.247927,0.036225,0.0971337,-0.124819,-0.00538665,0.0406004,-0.207936,-0.0411626,-0.0730687,0.157319,0.0522036,0.0720332,-0.119738,-0.089305,0.185277
