# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = ModeloJer2QR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/jer_2.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_3.json
# random
#   seed = 1030022317 (Default)
# output
#   file = /scratch/juandiaz/jer2/jer2_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 v2.26.1-334-g9c6819aa
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,mu_l_raw.1,mu_l_raw.2,mu_l_raw.3,mu_l_raw.4,mu_l_raw.5,mu_l_raw.6,mu_l_raw.7,mu_l_raw.8,mu_l_raw.9,mu_l_raw.10,mu_l_raw.11,mu_l_raw.12,mu_l_raw.13,mu_l_raw.14,mu_l_raw.15,mu_l_raw.16,mu_l_raw.17,mu_l_raw.18,mu_l_raw.19,mu_l_raw.20,mu_l_raw.21,mu_l_raw.22,mu_l_raw.23,mu_l_raw.24,mu_l_raw.25,mu_l_raw.26,mu_l_raw.27,mu_l_raw.28,mu_l_raw.29,mu_l_raw.30,mu_l_raw.31,mu_l_raw.32,mu_l2_raw.1,mu_l2_raw.2,mu_l2_raw.3,mu_l2_raw.4,mu_l2_raw.5,mu_l2_raw.6,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,tau.1,tau.2,stdnormal.1,stdnormal.2,alpha,mu_l.1,mu_l.2,mu_l.3,mu_l.4,mu_l.5,mu_l.6,mu_l.7,mu_l.8,mu_l.9,mu_l.10,mu_l.11,mu_l.12,mu_l.13,mu_l.14,mu_l.15,mu_l.16,mu_l.17,mu_l.18,mu_l.19,mu_l.20,mu_l.21,mu_l.22,mu_l.23,mu_l.24,mu_l.25,mu_l.26,mu_l.27,mu_l.28,mu_l.29,mu_l.30,mu_l.31,mu_l.32,mu_l2.1,mu_l2.2,mu_l2.3,mu_l2.4,mu_l2.5,mu_l2.6,sigma.1,sigma.2
# Adaptation terminated
# Step size = 0.0224549
# Diagonal elements of inverse mass matrix:
# 0.0196813, 5.51996e-05, 0.119008, 0.0872881, 0.193737, 0.156093, 0.153294, 0.0591275, 0.0830038, 0.179892, 0.0993156, 0.0531159, 0.0662891, 0.0653219, 0.0496903, 0.0496282, 0.0397741, 0.060157, 0.137605, 0.138325, 0.0777723, 0.074313, 0.0626422, 0.0820247, 0.101475, 0.0756031, 0.0763947, 0.0594283, 0.0765847, 0.12682, 0.0620342, 0.0502033, 0.0891069, 0.0949394, 0.177825, 0.209977, 0.1804, 0.318708, 0.138518, 0.154318, 5.28133e-05, 3.57441e-05, 3.34274e-05, 3.72311e-05, 3.27123e-05, 3.38405e-05, 3.5743e-05, 3.72618e-05, 3.49869e-05, 3.62459e-05, 3.48122e-05, 2.87591e-05, 2.34526e-05, 2.11868e-05, 2.0044e-05, 2.28202e-05, 2.39534e-05, 2.26128e-05, 2.47033e-05, 0.658104, 0.604105, 0.182578, 0.250543
-351536,0.978895,0.0224549,7,127,0,351568,-3.16798,-2.52969,-1.31258,-1.15095,-1.76189,-0.38892,0.494982,0.729436,1.02928,-0.752142,0.0214267,0.648307,0.497965,-0.324061,-0.0334601,1.13077,-0.332312,0.723817,1.51265,-0.68523,-0.932338,0.566373,0.981656,-1.0884,-0.100548,0.057599,-0.717561,0.260562,0.0891049,0.939052,0.0325967,0.512382,-0.665628,-0.616968,-0.954125,0.409554,0.191409,-1.7948,-0.191924,0.0205305,0.0308157,-0.0601418,-0.0199045,-0.0156848,-0.0309358,0.00179535,-0.0442541,0.066942,-0.00797001,0.0144064,-0.00652092,0.00971908,-0.00588649,0.0262667,-0.0409529,-0.00186982,-0.00881806,-0.0193808,-0.019917,1.79539,0.473423,0.218212,0.221931,1.36091,-0.213759,-0.187437,-0.286932,-0.0633374,0.0806101,0.118792,0.167623,-0.12249,0.00348944,0.10558,0.0810959,-0.0527748,-0.00544913,0.184152,-0.0541185,0.117877,0.246342,-0.111593,-0.151835,0.0922364,0.159867,-0.177252,-0.0163747,0.00938026,-0.116858,0.0424338,0.0145111,0.152929,0.00530853,0.0834438,-0.108401,-0.100476,-0.30775,0.132101,0.0617383,-0.578907,-0.0619046,0.00662204,0.162855,0.322547
-351537,0.920946,0.0224549,7,127,0,351568,-3.23843,-2.5271,-1.05825,-0.976323,-1.9852,-0.0497354,-0.562284,0.161768,1.02761,-0.0602304,-0.36722,0.174976,0.102105,-0.204708,-0.546867,0.680111,-0.406622,0.475316,1.42617,-1.18313,-0.885734,0.57319,0.685595,-0.673187,-0.402813,0.0695183,-0.879266,-0.0986339,-0.0631029,0.483368,0.00526519,0.591603,-0.29146,-0.284462,-0.53063,0.663854,0.455532,-1.28315,-0.0705167,0.282052,0.0307544,-0.063671,-0.00605864,-0.020765,-0.0331873,0.0129242,-0.0553109,0.0756173,-6.25089e-05,0.0145628,0.0123285,0.00674401,-0.00852645,0.024484,-0.0329167,0.0016253,-0.00821302,-0.0162525,-0.0312708,1.38493,2.19485,0.233522,0.533856,1.36008,-0.209991,-0.193735,-0.393928,-0.00986915,-0.111576,0.0321001,0.203911,-0.0119517,-0.0728686,0.0347209,0.020261,-0.0406208,-0.108516,0.134956,-0.0806872,0.0943184,0.283,-0.234772,-0.175759,0.11374,0.136045,-0.133583,-0.0799313,0.0137947,-0.174475,-0.0195722,-0.0125217,0.0959162,0.00104479,0.117394,-0.0578352,-0.0564466,-0.191211,0.239218,0.16415,-0.46238,-0.0254105,0.101637,0.198433,0.360347
-351537,0.956209,0.0224549,7,127,0,351573,-3.20825,-2.52841,-1.23583,-1.08079,-1.99243,-0.383662,-0.548152,0.167181,1.07308,-0.059097,-0.321515,0.310617,0.232014,-0.258842,-0.451966,0.439588,-0.40237,0.243246,1.28043,-1.0676,-0.987742,0.584597,0.649385,-0.80458,-0.491842,-0.0429343,-0.875255,-0.0479017,0.00868193,0.52908,-0.104287,0.454929,-0.307371,-0.244129,-0.845958,0.704985,0.396198,-1.45535,-0.0797375,0.26078,0.0306902,-0.0623003,-0.0115721,-0.0213203,-0.0381313,0.0101717,-0.0533759,0.0737232,-0.00168688,0.0117714,0.0154177,0.00763345,-0.00685012,0.0244681,-0.0343421,-0.00258634,-0.00770303,-0.0143035,-0.0250616,1.95,2.73509,0.297721,0.52993,1.35921,-0.263484,-0.230427,-0.424791,-0.081798,-0.116868,0.0356434,0.228783,-0.0125997,-0.0685478,0.0662246,0.0494661,-0.0551858,-0.0963604,0.0937215,-0.0857865,0.0518608,0.272991,-0.227616,-0.21059,0.124638,0.138451,-0.171539,-0.104862,-0.00915372,-0.186607,-0.0102128,0.00185101,0.112801,-0.0222343,0.0969922,-0.0655325,-0.0520489,-0.27107,0.225898,0.126954,-0.466337,-0.0255503,0.0835618,0.213203,0.32043
-351536,0.69156,0.0224549,7,127,0,351573,-3.27965,-2.54678,-0.643655,-1.00398,-1.90628,-0.0304914,0.197348,0.689621,1.10344,-1.20179,0.356352,0.421155,0.485405,-0.269052,-0.0023,0.781151,-0.246799,0.788427,1.73848,-0.81633,-0.638568,0.238762,0.942356,-0.797534,-0.252684,0.227043,-0.810038,0.126522,0.0696862,0.837869,0.329753,0.61268,-0.609866,-0.815794,-0.554698,0.79633,0.620021,-1.95208,0.00975093,0.325314,0.0312519,-0.0674926,-0.0153515,-0.0281157,-0.0285767,0.00555418,-0.0474823,0.0646984,-0.0043393,0.0196736,-0.000957982,0.00781968,-0.0112557,0.0284723,-0.0362808,0.00218384,-0.00947108,-0.0301194,-0.0253891,1.85699,0.85116,0.259351,0.256952,1.36686,-0.1225,-0.191076,-0.362802,-0.00580311,0.0375592,0.131248,0.210007,-0.228724,0.0678207,0.0801541,0.092382,-0.0512058,-0.000437735,0.148668,-0.0469707,0.150053,0.330866,-0.155364,-0.121532,0.0454411,0.179349,-0.151786,-0.0480906,0.0432106,-0.154166,0.0240797,0.0132626,0.159463,0.0627584,0.116605,-0.116069,-0.155261,-0.154491,0.221789,0.172684,-0.543681,0.00271577,0.0906044,0.190319,0.278514
-351549,0.970321,0.0224549,7,127,0,351577,-3.28127,-2.5487,-0.638708,-0.974292,-2.40242,0.436999,-0.013629,0.538788,1.21431,0.00878112,-0.352301,0.615765,0.527025,0.0250817,-0.371348,1.32134,-0.153491,0.634081,1.55818,-1.10027,-1.04089,0.532072,1.07591,-0.769752,-0.680197,0.393912,-0.629451,0.129379,0.547775,0.820177,0.28738,0.84007,-0.254818,-0.317176,-1.57542,0.921934,0.494804,-2.51617,0.00701992,0.304986,0.0314457,-0.0623125,-0.015109,-0.0268906,-0.0307766,0.0139702,-0.0381597,0.0711784,-0.00432994,0.0142199,0.00520059,-0.00221406,-0.0137024,0.0202434,-0.0384592,-0.001785,-0.00925136,-0.0153033,-0.02115,1.49839,0.668843,0.214377,0.180059,1.36951,-0.111858,-0.17063,-0.420741,0.0765326,-0.00238687,0.0943591,0.212665,0.00153786,-0.0616992,0.10784,0.0922991,0.00439261,-0.065035,0.23141,-0.0268811,0.111048,0.272887,-0.192692,-0.182293,0.0931829,0.188427,-0.134808,-0.119124,0.0689868,-0.110237,0.0226584,0.0959331,0.143639,0.0503295,0.147123,-0.0446268,-0.0555478,-0.346855,0.202979,0.108939,-0.553977,0.00154555,0.0671478,0.175132,0.220167
-351546,0.995838,0.0224549,7,127,0,351575,-3.30975,-2.55449,-0.708319,-1.04565,-1.80673,0.534655,-0.456647,0.742852,1.18852,-0.200496,-0.226651,0.567402,0.33056,-0.0715459,-0.10043,0.884492,-0.138707,0.686851,1.959,-1.55151,-0.845391,0.648481,1.10151,-0.928179,-0.561625,0.502556,-0.756646,0.42542,-0.139183,1.0304,0.227666,0.813615,-0.632674,-0.111384,-1.15036,1.09054,0.695426,-2.08887,-0.16589,0.463344,0.0315613,-0.0667695,-0.0107179,-0.0184669,-0.0343287,0.0109494,-0.0477192,0.0748964,-0.0103641,0.0147111,-0.00374012,-0.000153822,-0.0115653,0.0225029,-0.0408668,-0.00302151,-0.0114061,-0.0218264,-0.0222112,1.93088,0.532556,0.253821,0.158276,1.3711,-0.129384,-0.191001,-0.330023,0.0976618,-0.0834126,0.135692,0.217099,-0.0366233,-0.0414008,0.103644,0.0603811,-0.0130688,-0.0183448,0.161564,-0.0253367,0.125462,0.357837,-0.283405,-0.154422,0.118454,0.201205,-0.169544,-0.102588,0.0917985,-0.138211,0.0777085,-0.0254237,0.188217,0.0415863,0.148618,-0.115566,-0.0203457,-0.249497,0.236522,0.150828,-0.453046,-0.0359793,0.100493,0.182663,0.216886
