# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = ModeloQR_reduce_model
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 750
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/juandiaz/covid19_multi/Cmdstan/sin_jer.json
# init = /home/juandiaz/covid19_multi/Cmdstan/inits_2.json
# random
#   seed = 922872940 (Default)
# output
#   file = /scratch/juandiaz/sinjer/sin_jer_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 48
# stanc_version = stanc3 v2.26.1-334-g9c6819aa
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_raw_mort,mu_raw_hosp,alpha_raw,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta_h.1,theta_h.2,theta_h.3,theta_h.4,theta_h.5,theta_h.6,theta_h.7,alpha
# Adaptation terminated
# Step size = 0.270012
# Diagonal elements of inverse mass matrix:
# 0.000100163, 6.76743e-05, 6.93655e-05, 3.01255e-05, 3.4965e-05, 3.51349e-05, 3.56427e-05, 3.62159e-05, 3.00141e-05, 3.80831e-05, 3.42307e-05, 3.44508e-05, 3.47473e-05, 3.2651e-05, 2.37133e-05, 2.3712e-05, 2.10431e-05, 2.51543e-05, 2.33453e-05, 2.21661e-05, 2.6378e-05
-352164,0.932795,0.270012,3,7,0,352173,-3.10831,-2.53204,0.0307825,-0.0664727,-0.0138497,-0.00996728,-0.0290507,-0.00873064,-0.0598116,0.0659022,0.00141359,0.0146242,-0.00471334,0.0175643,-0.0084953,0.0262184,-0.0353354,0.00212605,-0.0123128,-0.0221418,-0.0309684,1.36046
-352161,0.997819,0.270012,4,15,0,352174,-3.07286,-2.50739,0.0299615,-0.0575736,-0.0130527,-0.00713831,-0.0294897,0.00662096,-0.0472904,0.0573601,-0.004644,0.0211879,0.0100684,0.00931468,-0.0138308,0.0317978,-0.029688,-0.00242195,-0.00610326,-0.0226997,-0.0238535,1.34934
-352159,0.979203,0.270012,4,15,0,352174,-3.07529,-2.51423,0.0301833,-0.0598008,-0.0150502,-0.0166084,-0.0290789,-0.00840276,-0.0524684,0.0558386,0.000924487,0.0122602,-0.00362906,0.00752092,-0.00970644,0.0201826,-0.0424506,0.000267607,-0.00807657,-0.0242428,-0.0248302,1.35234
-352159,0.998754,0.270012,4,15,0,352167,-3.07411,-2.51427,0.0302478,-0.0623827,-0.0157821,-0.0168224,-0.0343971,-0.0101337,-0.0528358,0.0546663,-0.00504686,0.0129058,0.00211483,0.00644798,-0.00755801,0.0212313,-0.0413478,-0.00377757,-0.00679281,-0.0261695,-0.024603,1.35321
-352157,1,0.270012,4,15,0,352165,-3.08328,-2.52228,0.0304926,-0.0607221,-0.0189837,-0.0108198,-0.0266953,0.00438914,-0.0559919,0.0736117,-0.00223547,0.0256436,0.00351423,0.0150896,-0.00759027,0.0255213,-0.0339658,-0.00299538,-0.011228,-0.0202747,-0.0240742,1.35653
-352158,0.919071,0.270012,4,15,0,352163,-3.09334,-2.52536,0.0306144,-0.0583196,-0.0129076,-0.0145139,-0.0318688,-0.00509147,-0.0507922,0.0493979,-0.00558706,0.0109383,0.00225414,0.00839741,-0.011274,0.0267277,-0.0382727,0.00118127,-0.00623788,-0.0244936,-0.0276175,1.35818
-352155,0.983727,0.270012,4,15,0,352163,-3.07042,-2.50841,0.0301532,-0.0628318,-0.0205139,-0.0175456,-0.0291946,-0.00355258,-0.0546296,0.0544427,-0.000717217,0.0147612,0.000292987,0.00614358,-0.011055,0.0280694,-0.033388,0.000940373,-0.00813766,-0.0236071,-0.0261825,1.35193
-352159,0.910252,0.270012,4,15,0,352165,-3.06836,-2.50384,0.0299784,-0.0497257,-0.0105904,-0.00669871,-0.0273645,0.00232154,-0.0522279,0.0663812,-0.00613713,0.0196015,0.000981449,0.0190897,-0.00783594,0.0244962,-0.0412925,-0.000585353,-0.00691639,-0.0259878,-0.0263293,1.34957
-352163,0.903231,0.270012,4,15,0,352170,-3.09013,-2.51205,0.030356,-0.0680251,-0.0223841,-0.0222362,-0.031159,-0.00408443,-0.0542918,0.056534,0.00028331,0.0145685,0.00188538,0.00133163,-0.0101222,0.0282469,-0.0302465,-0.000721688,-0.00958755,-0.0194536,-0.0244429,1.35467
-352160,0.985262,0.270012,4,15,0,352174,-3.07922,-2.51357,0.0303139,-0.0511777,-0.0115482,-0.00634259,-0.0254853,-0.000180225,-0.0514817,0.0638232,-0.00490698,0.0217376,0.00359413,0.026623,-0.00920992,0.023782,-0.0401206,-0.000383992,-0.00704648,-0.0252971,-0.0269322,1.3541
-352161,0.906735,0.270012,4,15,0,352172,-3.06426,-2.50595,0.0299161,-0.0610465,-0.0262652,-0.0127047,-0.0323066,0.00355627,-0.0548033,0.0566242,-0.00810895,0.0262146,-0.00550426,0.0112321,-0.0111059,0.0288265,-0.0403789,-0.00224788,-0.0115658,-0.0250663,-0.0277119,1.34873
-352161,0.986204,0.270012,4,15,0,352172,-3.08417,-2.51693,0.0303245,-0.0517484,-0.0138452,-0.00902892,-0.0282586,-0.00406721,-0.0547914,0.0750475,-0.00721737,0.013167,0.0062549,0.0180947,-0.0118088,0.0240777,-0.0370106,-0.00236836,-0.00135361,-0.0212745,-0.0215406,1.35425
